1318069,"byds0421",95624.2,2016/01/28
1280940,"小斌蟋蟀",68534,2016/01/28
1213172,"yu0611",38579.2,2016/01/28
1509484,"hyb061101",30858,2016/01/28
1310501,"huajia123",24509.6,2016/01/28
1029896,"czls888",22402,2016/01/28
1259420,"dvd010",20640,2016/01/28
954776,"ymf16889",17082,2016/01/28
1459126,"lixin188",16752,2016/01/28
1197744,"shinan19820213",15978.8,2016/01/28
1092826,"hryjhjs",15887.4,2016/01/28
1468788,"ke888",15544,2016/01/28
1246006,"xbtw020220",15132,2016/01/28
1029331,"eeqsnrt628",15050,2016/01/28
1390967,"wo55558888",12807,2016/01/28
1294994,"fdc858",12461.2,2016/01/28
1308464,"starwei1976",12012,2016/01/28
1485496,"gui2016",11812.8,2016/01/28
1089665,"sm5678",11300,2016/01/28
1379867,"wl535671549",10834,2016/01/28
363032,"dick888",10720,2016/01/28
1458023,"lgb108",10614,2016/01/28
1295559,"bbff119",10414.6,2016/01/28
1380822,"feige1166888a",9676.8,2016/01/28
1086013,"original",9431,2016/01/28
1191030,"y2981074808",9328,2016/01/28
1471765,"yingjie9999",9312.8,2016/01/28
1493679,"z15888",9182,2016/01/28
1167864,"asdfgh1979",8741.8,2016/01/28
1246953,"xueyue9966",8274,2016/01/28
1267011,"ffffff888",8200,2016/01/28
1255986,"ditayang",7866,2016/01/28
1215840,"ly823399953",7832,2016/01/28
867904,"benlu88",6946,2016/01/28
1285146,"li9887",6847.2,2016/01/28
939725,"xxg6666",6335.6,2016/01/28
1488680,"mrj2016",6185.4,2016/01/28
1041066,"liushang998",6124,2016/01/28
1463410,"wolftooth24",6120,2016/01/28
1462713,"a953688023",6064,2016/01/28
1504477,"qwas7758521",5640,2016/01/28
1089926,"power9",5600,2016/01/28
1215757,"yu789iop",5600,2016/01/28
919265,"nini5656",5580,2016/01/28
803268,"fuman2013",5540,2016/01/28
1444109,"wangjie1234",5408,2016/01/28
966772,"chuancaizhong",5401.2,2016/01/28
1510077,"a15218998500",5398,2016/01/28
1370099,"anhuizgp",5286,2016/01/28
1445469,"韦雨",5145,2016/01/28
1505825,"fg1688adf",5132,2016/01/28
